iso_code;country;year;co2;co2_per_capita;trade_co2;cement_co2;cement_co2_per_capita;coal_co2;coal_co2_per_capita;flaring_co2;flaring_co2_per_capita;gas_co2;gas_co2_per_capita;oil_co2;oil_co2_per_capita;co2_growth_prct;co2_growth_abs;co2_per_unit_energy;cumulative_co2;cumulative_cement_co2;cumulative_coal_co2;cumulative_flaring_co2;cumulative_gas_co2;cumulative_oil_co2;cumulative_other_co2;share_global_co2;share_global_cement_co2;share_global_coal_co2;share_global_flaring_co2;share_global_gas_co2;share_global_oil_co2;share_global_other_co2;share_global_cumulative_co2;share_global_cumulative_cement_co2;share_global_cumulative_coal_co2;share_global_cumulative_flaring_co2;share_global_cumulative_gas_co2;share_global_cumulative_oil_co2;population;gdp;primary_energy_consumption;energy_per_capita
NPL;Nepal;2020;16.958;0.582;;3.435;0.118;6.235;0.214;;;;;7.288;0.25;-0.05;-0.009;;165.884;23.629;45.119;;;97.136;;0.05;0.21;0.04;;;0.07;;0.01;0.05;0.01;;;0.02;29136808.0;;;
NLD;Netherlands;2020;138.1;8.06;;0.006;0.0;16.723;0.976;1.049;0.061;70.745;4.129;48.409;2.825;-10.09;-15.5;0.147;11.739.972;56.445;3.840.109;29.149;3.876.089;3.901.217;36.963;0.4;0.0;0.12;0.24;0.96;0.44;0.39;0.69;0.13;0.49;0.16;1.58;0.66;17134873.0;;936.821;54.673.362
NCL;New Caledonia;2020;8.693;30.448;;0.033;0.115;5.77;20.212;;;;;2.889;10.121;-0.16;-0.014;;157.007;1.651;59.383;;;95.973;;0.02;0.0;0.04;;;0.03;;0.01;0.0;0.01;;;0.02;285491.0;;;
NZL;New Zealand;2020;33.475;6.942;;0.411;0.085;5.714;1.185;1.021;0.212;7.847;1.627;17.727;3.676;-10.72;-4.019;0.143;1.886.569;33.489;626.897;29.651;326.036;846.965;23.53;0.1;0.03;0.04;0.23;0.11;0.16;0.25;0.11;0.08;0.08;0.17;0.13;0.14;4822233.0;;233.462;48413.68
NIC;Nicaragua;2020;5.074;0.766;;0.353;0.053;;;;;;;4.721;0.713;-10.57;-0.599;;177.397;8.77;;;;168.626;;0.01;0.02;;;;0.04;;0.01;0.02;;;;0.03;6624554.0;;;
NER;Niger;2020;1.69;0.07;;0.02;0.001;0.341;0.014;;;;;1.329;0.055;-8.79;-0.163;;46.523;0.891;11.973;;;33.66;;0.0;0.0;0.0;;;0.01;;0.0;0.0;0.0;;;0.01;24206636.0;;;
NGA;Nigeria;2020;125.463;0.609;;8.137;0.04;0.106;0.0;15.348;0.074;39.155;0.19;62.716;0.304;-3.57;-4.641;;3.914.991;130.415;70.406;1.258.537;712.875;1.742.758;;0.36;0.5;0.0;3.53;0.53;0.57;;0.23;0.3;0.01;7.07;0.29;0.29;206139587.0;;;
NIU;Niue;2020;0.011;7.012;;;;;;;;;;0.011;7.012;0.14;0.0;;0.29;;;;;0.29;;0.0;;;;;0.0;;0.0;;;;;0.0;1618.0;;;
;North America;2020;5.775.159;9.805;;76.87;0.13;965.43;1.639;100.457;0.171;2.057.877;3.494;2549.14;4.328;-10.61;-685.568;0.192;477.801.968;4.060.243;186.969.056;3.467.716;89.871.057;191.967.142;1.466.755;16.59;4.73;6.91;23.09;27.81;23.02;8.53;28.16;9.41;23.72;19.49;36.65;32.39;592062319.0;;;
;North America (excl. USA);2020;1.062.388;4.118;;36.075;0.14;76.78;0.298;15.947;0.062;402.888;1.562;528.603;2.049;-11.83;-142.522;0.184;61.078.879;1.315.057;11.318.868;1.213.907;13.316.229;33.828.948;85.87;3.05;2.22;0.55;3.67;5.44;4.77;0.7;3.6;3.05;1.44;6.82;5.43;5.71;;;;
PRK;North Korea;2020;29.311;1.137;;2.633;0.102;23.675;0.918;;;;;3.003;0.116;-0.23;-0.068;;5.049.468;193.726;4.593.315;;;262.427;;0.08;0.16;0.17;;;0.03;;0.3;0.45;0.58;;;0.04;25778815.0;;;
MKD;North Macedonia;2020;7.147;3.43;;0.359;0.172;3.379;1.622;;;0.573;0.275;2.835;1.361;-10.38;-0.828;0.253;636.096;18.118;416.346;;5.57;195.852;;0.02;0.02;0.02;;0.01;0.03;;0.04;0.04;0.05;;0.0;0.03;2083380.0;;28.297;13.582.355
NOR;Norway;2020;41.283;7.615;;0.722;0.133;4.083;0.753;1.676;0.309;13.307;2.455;21.112;3.894;-3.69;-1.582;0.077;2.632.394;61.901;633.319;108.645;412.919;1.405.108;10.503;0.12;0.04;0.03;0.39;0.18;0.19;0.13;0.16;0.14;0.08;0.61;0.17;0.24;5421242.0;;536.049;98.879.418
;Oceania;2020;444.571;10.486;;3.523;0.083;171.301;4.041;21.362;0.504;89.064;2.101;154.67;3.648;-5.65;-26.618;0.25;20.981.298;229.925;10.919.578;316.955;2.420.702;6.960.125;134.013;1.28;0.22;1.23;4.91;1.2;1.4;1.56;1.24;0.53;1.39;1.78;0.99;1.17;42677809.0;;;
OMN;Oman;2020;62.163;12.173;;2.096;0.41;;;3.059;0.599;53.163;10.411;3.844;0.753;2.31;1.406;0.163;1.251.111;37.631;;130.566;797.988;284.926;;0.18;0.13;;0.7;0.72;0.03;;0.07;0.09;;0.73;0.33;0.05;5106622.0;;380.513;74.513.602
PAK;Pakistan;2020;234.755;1.063;;15.608;0.071;58.77;0.266;;;71.688;0.324;88.688;0.402;0.2;0.466;0.243;5.162.289;302.267;736.969;;1.855.211;2.243.083;;0.67;0.96;0.42;;0.97;0.8;;0.3;0.7;0.09;;0.76;0.38;220892331.0;;965.055;4.368.891
PLW;Palau;2020;0.219;12.125;;;;;;;;;;0.219;12.125;0.14;0.0;;10.562;;;;;10.562;;0.0;;;;;0.0;;0.0;;;;;0.0;18092.0;;;
PSE;Palestine;2020;2.899;0.568;;;;;;;;;;2.899;0.568;-2.92;-0.087;;59.438;;;;;59.438;;0.01;;;;;0.03;;0.0;;;;;0.01;5101416.0;;;
PAN;Panama;2020;10.78;2.498;;0.775;0.18;0.686;0.159;;;0.659;0.153;8.659;2.007;-12.32;-1.514;;309.251;19.935;9.731;;2.292;277.293;;0.03;0.05;0.0;;0.01;0.08;;0.02;0.05;0.0;;0.0;0.05;4314768.0;;;
;Panama Canal Zone;2020;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
PNG;Papua New Guinea;2020;6.652;0.744;;;;;;;;1.009;0.113;5.643;0.631;0.52;0.034;;169.499;;;;11.973;157.475;;0.02;;;;0.01;0.05;;0.01;;;;0.0;0.03;8947027.0;;;
PRY;Paraguay;2020;7.57;1.061;;0.408;0.057;0.007;0.001;;;;;7.154;1.003;-11.2;-0.955;;177.914;9.672;0.051;;;168.191;;0.02;0.03;0.0;;;0.06;;0.01;0.02;0.0;;;0.03;7132530.0;;;
PER;Peru;2020;44.706;1.356;;4.32;0.131;1.239;0.038;0.202;0.006;13.133;0.398;25.812;0.783;-18.68;-10.271;0.161;1941.85;111.784;115.686;87.684;236.291;1.390.405;;0.13;0.27;0.01;0.05;0.18;0.23;;0.11;0.26;0.01;0.49;0.1;0.23;32971845.0;;276.954;8.399.715
PHL;Philippines;2020;136.018;1.241;;9.952;0.091;68.994;0.63;;;7.9;0.072;49.172;0.449;-7.23;-10.597;0.268;3.390.274;236.059;816.347;;129.539;2.208.329;;0.39;0.61;0.49;;0.11;0.44;;0.2;0.55;0.1;;0.05;0.37;109581085.0;;506.944;4626.2
POL;Poland;2020;299.593;7.916;;7.692;0.203;160.834;4.25;4.344;0.115;36.626;0.968;85.228;2.252;-6.24;-19.928;0.269;27.863.876;415.759;23.016.542;110.67;1.185.017;2.992.729;143.16;0.86;0.47;1.15;1.0;0.49;0.77;1.63;1.64;0.96;2.92;0.62;0.48;0.5;37846605.0;;1.114.704;29.453.211
PRT;Portugal;2020;40.388;3.961;;2.225;0.218;2.334;0.229;1.133;0.111;11.865;1.164;21.924;2.15;-15.2;-7.241;0.156;2.614.595;159.366;650.35;18.227;212.259;1.548.989;25.404;0.12;0.14;0.02;0.26;0.16;0.2;0.3;0.15;0.37;0.08;0.1;0.09;0.26;10196707.0;;259.044;25404.71
PRI;Puerto Rico;2020;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;2860840.0;;;
